index,weight_0,weight_1
0,70130.0,11137.0
1,70139.0,11132.0
2,70144.0,11128.0
3,70149.0,11126.0
4,70152.0,11125.0
5,70153.0,11123.0
6,70154.0,11114.0
7,70163.0,11109.0
8,70168.0,11105.0
9,70173.0,11103.0
10,70176.0,11102.0
11,70177.0,11100.0
12,70182.0,11096.0
13,70184.0,11086.0
14,70193.0,11081.0
15,70194.0,11060.0
16,70203.0,11055.0
17,70208.0,11051.0
18,70213.0,11049.0
19,70216.0,11048.0
20,70217.0,11046.0
21,70218.0,11037.0
22,70227.0,11032.0
23,70232.0,11028.0
24,70237.0,11026.0
25,70240.0,11025.0
26,70241.0,11023.0
27,70246.0,11019.0
28,70248.0,11009.0
29,70257.0,11004.0
30,70262.0,11000.0
31,70267.0,10998.0
32,70270.0,10996.0
33,70271.0,10995.0
34,70272.0,10986.0
35,70281.0,10981.0
36,70286.0,10977.0
37,70291.0,10975.0
38,70294.0,10974.0
39,70295.0,10972.0
40,70300.0,10968.0
41,70305.0,10966.0
42,70307.0,10959.0
43,70310.0,10958.0
44,70311.0,10950.0
45,70320.0,10945.0
46,70325.0,10941.0
47,70330.0,10939.0
48,70331.0,10936.0
49,70335.0,10927.0
50,70344.0,10922.0
51,70349.0,10918.0
52,70354.0,10916.0
53,70357.0,10915.0
54,70358.0,10913.0
55,70361.0,10908.0
56,70364.0,10907.0
57,70365.0,10899.0
58,70374.0,10894.0
59,70379.0,10890.0
60,70384.0,10888.0
61,70385.0,10885.0
62,70389.0,10876.0
63,70398.0,10871.0
64,70403.0,10867.0
65,70408.0,10865.0
66,70411.0,10864.0
67,70412.0,10862.0
68,70417.0,10858.0
69,70422.0,10856.0
70,70424.0,10849.0
71,70427.0,10848.0
72,70433.0,10844.0
73,70436.0,10843.0
74,70438.0,10840.0
75,70441.0,10835.0
76,70448.0,10826.0
77,70457.0,10820.0
78,70462.0,10817.0
79,70466.0,10815.0
80,70470.0,10814.0
81,70471.0,10811.0
82,70476.0,10808.0
83,70478.0,10798.0
84,70481.0,10797.0
85,70487.0,10793.0
86,70490.0,10792.0
87,70492.0,10789.0
88,70495.0,10788.0
89,70497.0,10787.0
90,70500.0,10785.0
91,70501.0,10784.0
92,70502.0,10775.0
93,70511.0,10770.0
94,70516.0,10766.0
95,70521.0,10764.0
96,70524.0,10763.0
97,70525.0,10761.0
98,70530.0,10757.0
99,70533.0,10756.0
100,70535.0,10755.0
101,70538.0,10754.0
102,70539.0,10752.0
103,70542.0,10751.0
104,70544.0,10748.0
105,70547.0,10747.0
106,70549.0,10746.0
107,70552.0,10745.0
108,70553.0,10743.0
109,70554.0,10734.0
110,70563.0,10729.0
111,70568.0,10725.0
112,70573.0,10723.0
113,70576.0,10722.0
114,70577.0,10720.0
115,70582.0,10718.0
116,70585.0,10717.0
117,70587.0,10714.0
118,70590.0,10713.0
119,70592.0,10712.0
120,70595.0,10711.0
121,70596.0,10709.0
122,70599.0,10708.0
123,70601.0,10707.0
124,70604.0,10706.0
125,70606.0,10703.0
126,70609.0,10702.0
127,70614.0,10700.0
128,70615.0,10698.0
129,70618.0,10697.0
130,70623.0,10695.0
131,70625.0,10694.0
132,70628.0,10691.0
133,70634.0,10689.0
134,70637.0,10686.0
135,70644.0,10684.0
136,70647.0,10682.0
137,70652.0,10680.0
138,70655.0,10679.0
139,70656.0,10677.0
