index,weight_0,weight_1
0,924940.0,114880.0
1,925030.0,114830.0
2,925080.0,114790.0
3,925130.0,114770.0
4,925160.0,114760.0
5,925170.0,114740.0
6,925180.0,114650.0
7,925270.0,114600.0
8,925320.0,114560.0
9,925370.0,114540.0
10,925400.0,114530.0
11,925410.0,114510.0
12,925460.0,114470.0
13,925480.0,114370.0
14,925550.0,113570.0
15,925640.0,113520.0
16,925690.0,113480.0
17,925740.0,113460.0
18,925770.0,113450.0
19,925780.0,113430.0
20,925790.0,113340.0
21,925880.0,113290.0
22,925930.0,113250.0
23,925980.0,113230.0
24,926010.0,113220.0
25,926020.0,113200.0
26,926070.0,113160.0
27,926090.0,113060.0
28,926180.0,113010.0
29,926190.0,112800.0
30,926280.0,112750.0
31,926330.0,112710.0
32,926380.0,112690.0
33,926410.0,112680.0
34,926420.0,112660.0
35,926430.0,112570.0
36,926520.0,112520.0
37,926570.0,112480.0
38,926620.0,112460.0
39,926650.0,112450.0
40,926660.0,112430.0
41,926710.0,112390.0
42,926730.0,112290.0
43,926820.0,112240.0
44,926870.0,112200.0
45,926920.0,112180.0
46,926950.0,112160.0
47,926960.0,112150.0
48,926970.0,112060.0
49,927060.0,112010.0
50,927110.0,111970.0
51,927160.0,111950.0
52,927190.0,111940.0
53,927200.0,111920.0
54,927250.0,111880.0
55,927300.0,111860.0
56,927320.0,111790.0
57,927350.0,111780.0
58,927360.0,111700.0
59,927450.0,111650.0
60,927500.0,111610.0
61,927550.0,111590.0
62,927560.0,111560.0
63,927600.0,111470.0
64,927690.0,111420.0
65,927740.0,111380.0
66,927790.0,111360.0
67,927820.0,111350.0
68,927830.0,111330.0
69,927860.0,111280.0
70,927890.0,111270.0
71,927900.0,111190.0
72,927990.0,111140.0
73,928040.0,111100.0
74,928090.0,111080.0
75,928100.0,111050.0
76,928140.0,110960.0
77,928230.0,110910.0
78,928280.0,110870.0
79,928330.0,110850.0
80,928360.0,110840.0
81,928370.0,110820.0
82,928420.0,110780.0
83,928470.0,110760.0
84,928490.0,110690.0
85,928520.0,110680.0
86,928580.0,110640.0
87,928610.0,110630.0
88,928630.0,110600.0
89,928660.0,110550.0
90,928730.0,110460.0
91,928820.0,110400.0
92,928870.0,110370.0
93,928910.0,110350.0
94,928950.0,110340.0
95,928960.0,110310.0
96,929010.0,110280.0
97,929030.0,110180.0
98,929060.0,110170.0
99,929120.0,110130.0
100,929150.0,110120.0
101,929170.0,110090.0
102,929200.0,110080.0
103,929220.0,110070.0
104,929250.0,110050.0
105,929260.0,110040.0
106,929270.0,109950.0
107,929360.0,109900.0
108,929410.0,109860.0
109,929460.0,109840.0
110,929490.0,109830.0
111,929500.0,109810.0
112,929550.0,109770.0
113,929580.0,109760.0
114,929600.0,109750.0
115,929630.0,109740.0
116,929640.0,109720.0
117,929670.0,109710.0
118,929690.0,109680.0
119,929720.0,109670.0
120,929740.0,109660.0
121,929770.0,109650.0
122,929780.0,109630.0
123,929790.0,109540.0
124,929880.0,109490.0
125,929930.0,109450.0
126,929980.0,109430.0
127,930010.0,109420.0
128,930020.0,109400.0
129,930070.0,109380.0
130,930100.0,109370.0
131,930120.0,109340.0
132,930150.0,109330.0
133,930170.0,109320.0
134,930200.0,109310.0
135,930210.0,109290.0
136,930240.0,109280.0
137,930260.0,109270.0
138,930290.0,109260.0
139,930310.0,109230.0
140,930340.0,109220.0
141,930390.0,109200.0
142,930400.0,109180.0
143,930430.0,109170.0
144,930480.0,109150.0
145,930500.0,109140.0
146,930530.0,109110.0
147,930590.0,109090.0
148,930620.0,109060.0
149,930690.0,109040.0
150,930720.0,109020.0
151,930770.0,109000.0
152,930800.0,108990.0
153,930810.0,108970.0
154,930860.0,108950.0
155,930890.0,108940.0
156,930900.0,108930.0
157,930910.0,108920.0
158,930950.0,108910.0
159,930970.0,108900.0
160,931000.0,108870.0
161,931030.0,108860.0
162,931050.0,108850.0
163,931070.0,108840.0
164,931090.0,108820.0
165,931120.0,108810.0
166,931140.0,108800.0
167,931160.0,108790.0
168,931190.0,108760.0
169,931220.0,108750.0
170,931260.0,108730.0
171,931280.0,108710.0
172,931310.0,108700.0
173,931350.0,108680.0
174,931380.0,108670.0
175,931410.0,108640.0
176,931470.0,108620.0
177,931480.0,108610.0
178,931500.0,108590.0
179,931570.0,108560.0
180,931600.0,108550.0
181,931640.0,108540.0
182,931650.0,108530.0
183,931670.0,108520.0
184,931690.0,108500.0
185,931740.0,108480.0
186,931760.0,108470.0
187,931790.0,108450.0
188,931840.0,108440.0
189,931850.0,108430.0
190,931860.0,108420.0
191,931890.0,108410.0
192,931920.0,108390.0
193,931950.0,108370.0
194,931980.0,108360.0
195,932000.0,108350.0
196,932010.0,108340.0
197,932040.0,108320.0
198,932070.0,108310.0
199,932090.0,108300.0
200,932110.0,108280.0
201,932140.0,108260.0
202,932170.0,108250.0
203,932190.0,108240.0
204,932200.0,108230.0
205,932230.0,108210.0
206,932260.0,108200.0
207,932280.0,108190.0
208,932300.0,108170.0
209,932330.0,108150.0
210,932360.0,108140.0
211,932390.0,108120.0
212,932420.0,108100.0
213,932450.0,108090.0
214,932490.0,108080.0
215,932500.0,108070.0
216,932520.0,108050.0
217,932550.0,108030.0
218,932610.0,108000.0
219,932640.0,107980.0
220,932710.0,107960.0
221,932740.0,107940.0
222,932790.0,107920.0
223,932800.0,107910.0
224,932830.0,107890.0
225,932880.0,107870.0
226,932900.0,107860.0
227,932920.0,107850.0
228,932930.0,107840.0
229,932970.0,107830.0
230,932990.0,107810.0
231,933020.0,107790.0
232,933050.0,107780.0
233,933070.0,107770.0
234,933080.0,107760.0
235,933110.0,107740.0
236,933140.0,107730.0
237,933160.0,107720.0
238,933180.0,107700.0
239,933210.0,107680.0
240,933240.0,107670.0
241,933270.0,107650.0
242,933300.0,107630.0
243,933330.0,107620.0
244,933370.0,107600.0
245,933400.0,107580.0
246,933430.0,107560.0
247,933470.0,107550.0
248,933490.0,107530.0
249,933520.0,107510.0
250,933560.0,107500.0
251,933590.0,107480.0
252,933620.0,107470.0
253,933660.0,107460.0
254,933670.0,107450.0
255,933680.0,107440.0
256,933710.0,107420.0
257,933750.0,107410.0
258,933760.0,107400.0
259,933780.0,107390.0
260,933810.0,107370.0
261,933850.0,107360.0
262,933870.0,107350.0
263,933880.0,107340.0
264,933910.0,107330.0
265,933940.0,107310.0
266,933970.0,107290.0
267,934000.0,107280.0
268,934020.0,107270.0
269,934030.0,107260.0
270,934060.0,107240.0
271,934090.0,107230.0
272,934110.0,107220.0
273,934130.0,107200.0
274,934160.0,107180.0
275,934190.0,107170.0
276,934220.0,107150.0
277,934250.0,107130.0
278,934280.0,107120.0
279,934320.0,107110.0
280,934330.0,107100.0
281,934350.0,107080.0
282,934380.0,107060.0
283,934440.0,107030.0
284,934470.0,107010.0
285,934540.0,106990.0
286,934570.0,106970.0
287,934620.0,106950.0
288,934630.0,106940.0
289,934660.0,106920.0
290,934710.0,106900.0
291,934730.0,106890.0
292,934760.0,106870.0
293,934810.0,106860.0
294,934820.0,106850.0
295,934860.0,106830.0
296,934900.0,106810.0
297,934920.0,106800.0
298,934950.0,106780.0
299,935000.0,106760.0
300,935030.0,106750.0
301,935060.0,106740.0
302,935080.0,106730.0
303,935100.0,106720.0
304,935110.0,106710.0
305,935160.0,106690.0
306,935190.0,106670.0
307,935220.0,106660.0
308,935250.0,106650.0
309,935270.0,106640.0
310,935300.0,106620.0
311,935350.0,106600.0
312,935380.0,106590.0
313,935420.0,106580.0
314,935430.0,106570.0
315,935450.0,106560.0
316,935460.0,106550.0
317,935510.0,106530.0
318,935540.0,106510.0
319,935570.0,106500.0
320,935610.0,106490.0
321,935620.0,106480.0
322,935670.0,106460.0
323,935700.0,106450.0
324,935720.0,106440.0
325,935750.0,106430.0
326,935770.0,106420.0
327,935780.0,106410.0
328,935800.0,106400.0
329,935810.0,106390.0
330,935860.0,106370.0
331,935890.0,106360.0
332,935930.0,106350.0
333,935940.0,106340.0
334,935980.0,106320.0
335,936030.0,106310.0
336,936040.0,106300.0
337,936070.0,106280.0
338,936100.0,106270.0
339,936120.0,106260.0
340,936130.0,106250.0
341,936170.0,106230.0
342,936220.0,106210.0
343,936240.0,106200.0
344,936270.0,106180.0
345,936320.0,106170.0
346,936330.0,106160.0
347,936370.0,106140.0
348,936410.0,106120.0
349,936430.0,106110.0
350,936460.0,106090.0
351,936510.0,106070.0
352,936540.0,106060.0
353,936570.0,106050.0
354,936590.0,106040.0
355,936610.0,106030.0
356,936620.0,106020.0
357,936670.0,106000.0
358,936700.0,105980.0
359,936730.0,105970.0
360,936760.0,105960.0
361,936780.0,105950.0
362,936810.0,105930.0
363,936860.0,105910.0
364,936890.0,105900.0
365,936930.0,105890.0
366,936940.0,105880.0
367,936960.0,105870.0
368,936970.0,105860.0
369,937020.0,105840.0
370,937050.0,105820.0
371,937080.0,105810.0
372,937120.0,105800.0
373,937130.0,105790.0
374,937180.0,105770.0
375,937210.0,105760.0
376,937230.0,105750.0
377,937260.0,105740.0
378,937280.0,105730.0
379,937290.0,105720.0
380,937310.0,105710.0
381,937320.0,105700.0
382,937370.0,105680.0
383,937400.0,105670.0
384,937440.0,105660.0
385,937450.0,105650.0
386,937490.0,105640.0
387,937520.0,105630.0
388,937540.0,105620.0
389,937550.0,105610.0
390,937580.0,105590.0
391,937610.0,105580.0
392,937630.0,105570.0
393,937640.0,105560.0
394,937710.0,105540.0
395,937740.0,105530.0
396,937780.0,105520.0
397,937790.0,105510.0
398,937810.0,105500.0
399,937850.0,105490.0
400,937870.0,105470.0
401,937900.0,105450.0
402,937950.0,105440.0
403,937970.0,105430.0
404,937980.0,105420.0
405,938050.0,105400.0
406,938080.0,105390.0
407,938110.0,105380.0
408,938130.0,105370.0
409,938150.0,105360.0
410,938180.0,105350.0
411,938210.0,105330.0
412,938240.0,105310.0
413,938290.0,105300.0
414,938310.0,105290.0
415,938320.0,105280.0
416,938390.0,105260.0
417,938420.0,105250.0
418,938440.0,105240.0
419,938470.0,105230.0
420,938490.0,105220.0
421,938500.0,105210.0
422,938550.0,105190.0
423,938580.0,105170.0
424,938650.0,105160.0
425,938670.0,105150.0
426,938710.0,105140.0
427,938730.0,105120.0
428,938760.0,105100.0
429,938810.0,105090.0
430,938830.0,105080.0
431,938840.0,105070.0
432,938910.0,105050.0
433,938940.0,105040.0
434,938970.0,105030.0
435,938990.0,105020.0
