index,weight_0,weight_1
0,0.0,0.0
1,9.0,-5.0
2,14.0,-9.0
3,19.0,-11.0
4,22.0,-12.0
5,23.0,-14.0
6,24.0,-23.0
7,33.0,-28.0
8,38.0,-32.0
9,43.0,-34.0
10,46.0,-35.0
11,47.0,-37.0
12,52.0,-41.0
13,54.0,-51.0
14,63.0,-56.0
15,64.0,-77.0
16,73.0,-82.0
17,78.0,-86.0
18,83.0,-88.0
19,86.0,-89.0
20,87.0,-91.0
21,88.0,-100.0
22,97.0,-105.0
23,102.0,-109.0
24,107.0,-111.0
25,110.0,-112.0
26,111.0,-114.0
27,116.0,-118.0
28,118.0,-128.0
29,127.0,-133.0
30,132.0,-137.0
31,137.0,-139.0
32,140.0,-141.0
33,141.0,-142.0
34,142.0,-151.0
35,151.0,-156.0
36,156.0,-160.0
37,161.0,-162.0
38,164.0,-163.0
39,165.0,-165.0
40,170.0,-169.0
41,175.0,-171.0
42,177.0,-178.0
43,180.0,-179.0
44,181.0,-187.0
45,190.0,-192.0
46,195.0,-196.0
47,200.0,-198.0
48,201.0,-201.0
49,205.0,-210.0
50,214.0,-215.0
51,219.0,-219.0
52,224.0,-221.0
53,227.0,-222.0
54,228.0,-224.0
55,231.0,-229.0
56,234.0,-230.0
57,235.0,-238.0
58,244.0,-243.0
59,249.0,-247.0
60,254.0,-249.0
61,255.0,-252.0
62,259.0,-261.0
63,268.0,-266.0
64,273.0,-270.0
65,278.0,-272.0
66,281.0,-273.0
67,282.0,-275.0
68,287.0,-279.0
69,292.0,-281.0
70,294.0,-288.0
71,297.0,-289.0
72,303.0,-293.0
73,306.0,-294.0
74,308.0,-297.0
75,311.0,-302.0
76,318.0,-311.0
77,327.0,-317.0
78,332.0,-320.0
79,336.0,-322.0
80,340.0,-323.0
81,341.0,-326.0
82,346.0,-329.0
83,348.0,-339.0
84,351.0,-340.0
85,357.0,-344.0
86,360.0,-345.0
87,362.0,-348.0
88,365.0,-349.0
89,367.0,-350.0
90,370.0,-352.0
91,371.0,-353.0
92,372.0,-362.0
93,381.0,-367.0
