index,weight_0,weight_1
0,0.0,0.0
1,2.0,-6.0
2,12.0,-10.0
3,15.0,-15.0
4,23.0,-18.0
5,25.0,-19.0
6,30.0,-21.0
7,33.0,-22.0
8,36.0,-27.0
9,46.0,-51.0
10,48.0,-57.0
11,58.0,-61.0
12,61.0,-66.0
13,71.0,-70.0
14,76.0,-72.0
15,86.0,-76.0
16,93.0,-87.0
17,95.0,-93.0
18,105.0,-97.0
19,110.0,-99.0
20,120.0,-103.0
21,129.0,-105.0
22,132.0,-107.0
23,134.0,-109.0
24,136.0,-115.0
25,144.0,-116.0
26,146.0,-119.0
27,149.0,-124.0
28,156.0,-130.0
29,166.0,-134.0
30,169.0,-139.0
31,179.0,-143.0
32,180.0,-160.0
33,182.0,-166.0
34,192.0,-170.0
35,195.0,-175.0
36,205.0,-179.0
37,210.0,-181.0
38,220.0,-185.0
39,227.0,-196.0
40,229.0,-202.0
41,239.0,-206.0
42,244.0,-208.0
43,254.0,-212.0
44,263.0,-214.0
45,266.0,-216.0
46,268.0,-217.0
47,273.0,-218.0
48,276.0,-220.0
49,278.0,-225.0
50,288.0,-233.0
51,290.0,-239.0
52,300.0,-243.0
53,303.0,-248.0
54,313.0,-252.0
55,318.0,-254.0
56,328.0,-258.0
57,335.0,-269.0
58,337.0,-275.0
59,347.0,-279.0
60,352.0,-281.0
61,362.0,-285.0
62,371.0,-287.0
63,374.0,-289.0
64,376.0,-290.0
65,381.0,-291.0
66,384.0,-293.0
67,386.0,-298.0
68,396.0,-302.0
69,413.0,-304.0
70,418.0,-305.0
71,420.0,-310.0
72,423.0,-312.0
73,425.0,-313.0
74,430.0,-314.0
75,433.0,-316.0
76,435.0,-317.0
77,443.0,-318.0
78,451.0,-321.0
79,453.0,-322.0
80,457.0,-324.0
81,459.0,-325.0
82,462.0,-327.0
83,467.0,-328.0
84,469.0,-329.0
85,472.0,-331.0
86,480.0,-332.0
87,482.0,-333.0
88,487.0,-334.0
89,488.0,-335.0
90,490.0,-336.0
91,492.0,-337.0
92,496.0,-339.0
93,504.0,-340.0
94,506.0,-343.0
95,514.0,-344.0
96,516.0,-345.0
97,517.0,-346.0
98,519.0,-347.0
99,524.0,-348.0
100,526.0,-349.0
101,527.0,-351.0
102,537.0,-355.0
103,544.0,-361.0
104,554.0,-365.0
105,557.0,-370.0
106,567.0,-374.0
107,572.0,-376.0
108,582.0,-380.0
109,589.0,-391.0
110,591.0,-397.0
111,601.0,-401.0
112,606.0,-403.0
113,616.0,-407.0
114,625.0,-409.0
115,628.0,-411.0
116,630.0,-412.0
117,635.0,-413.0
118,638.0,-415.0
119,640.0,-420.0
120,650.0,-424.0
121,667.0,-426.0
122,672.0,-427.0
123,674.0,-432.0
124,677.0,-434.0
125,679.0,-435.0
126,684.0,-436.0
127,687.0,-438.0
128,689.0,-439.0
129,697.0,-440.0
130,705.0,-443.0
131,707.0,-444.0
132,711.0,-446.0
133,713.0,-447.0
134,716.0,-449.0
135,721.0,-450.0
136,723.0,-451.0
137,726.0,-453.0
138,734.0,-454.0
139,736.0,-455.0
140,741.0,-456.0
141,742.0,-457.0
142,744.0,-458.0
143,746.0,-459.0
144,750.0,-461.0
145,758.0,-462.0
146,760.0,-465.0
147,768.0,-466.0
148,770.0,-467.0
149,771.0,-468.0
150,773.0,-469.0
151,778.0,-470.0
152,780.0,-471.0
153,781.0,-473.0
154,791.0,-477.0
155,801.0,-478.0
156,805.0,-480.0
157,807.0,-481.0
158,815.0,-485.0
159,818.0,-487.0
160,820.0,-488.0
161,825.0,-489.0
162,828.0,-491.0
163,830.0,-492.0
164,838.0,-493.0
165,846.0,-496.0
166,848.0,-497.0
167,852.0,-499.0
168,854.0,-500.0
169,857.0,-502.0
170,861.0,-504.0
171,867.0,-506.0
172,871.0,-508.0
173,876.0,-510.0
174,885.0,-511.0
175,886.0,-514.0
176,895.0,-516.0
177,898.0,-518.0
178,900.0,-519.0
179,905.0,-520.0
180,908.0,-522.0
181,910.0,-527.0
182,920.0,-531.0
183,937.0,-533.0
184,942.0,-534.0
185,944.0,-539.0
186,947.0,-541.0
187,949.0,-542.0
188,954.0,-543.0
189,957.0,-545.0
190,959.0,-546.0
191,967.0,-547.0
192,975.0,-550.0
193,977.0,-551.0
194,981.0,-553.0
195,983.0,-554.0
196,986.0,-556.0
197,991.0,-557.0
198,993.0,-558.0
199,996.0,-560.0
200,1004.0,-561.0
201,1006.0,-562.0
202,1011.0,-563.0
203,1012.0,-564.0
204,1014.0,-565.0
205,1016.0,-566.0
206,1020.0,-568.0
207,1028.0,-569.0
208,1030.0,-572.0
209,1038.0,-573.0
210,1040.0,-574.0
211,1041.0,-575.0
212,1043.0,-576.0
213,1048.0,-577.0
214,1050.0,-578.0
215,1051.0,-580.0
216,1061.0,-584.0
217,1071.0,-585.0
218,1075.0,-587.0
219,1077.0,-588.0
220,1085.0,-592.0
221,1088.0,-594.0
222,1090.0,-595.0
223,1095.0,-596.0
224,1098.0,-598.0
225,1100.0,-599.0
226,1108.0,-600.0
227,1116.0,-603.0
228,1118.0,-604.0
229,1122.0,-606.0
230,1124.0,-607.0
231,1127.0,-609.0
232,1132.0,-610.0
