index,weight_0,weight_1
0,0.0,0.0
1,190.0,-110.0
2,340.0,-140.0
3,350.0,-160.0
4,400.0,-180.0
5,520.0,-220.0
6,530.0,-250.0
7,540.0,-270.0
8,690.0,-300.0
9,710.0,-310.0
10,740.0,-320.0
11,750.0,-340.0
12,860.0,-360.0
13,870.0,-380.0
14,880.0,-410.0
15,1040.0,-420.0
16,1050.0,-450.0
17,1060.0,-470.0
18,1090.0,-480.0
19,1210.0,-520.0
20,1270.0,-540.0
21,1380.0,-560.0
22,1390.0,-580.0
23,1400.0,-610.0
24,1510.0,-690.0
25,1700.0,-800.0
26,1850.0,-830.0
27,1860.0,-850.0
28,1910.0,-870.0
29,2030.0,-910.0
30,2040.0,-940.0
31,2050.0,-960.0
32,2200.0,-990.0
33,2220.0,-1000.0
34,2250.0,-1010.0
35,2260.0,-1030.0
36,2370.0,-1050.0
37,2380.0,-1070.0
38,2390.0,-1100.0
39,2550.0,-1110.0
40,2560.0,-1140.0
41,2570.0,-1160.0
42,2600.0,-1170.0
43,2720.0,-1210.0
44,2780.0,-1230.0
45,2890.0,-1250.0
46,2900.0,-1270.0
47,2910.0,-1300.0
48,3090.0,-1310.0
49,3100.0,-1320.0
50,3110.0,-1340.0
51,3120.0,-1370.0
52,3240.0,-1410.0
53,3390.0,-1420.0
54,3450.0,-1480.0
55,3600.0,-1490.0
56,3720.0,-1530.0
57,3790.0,-1550.0
58,3930.0,-1600.0
59,4050.0,-1610.0
60,4150.0,-1650.0
61,4270.0,-1670.0
62,4330.0,-1680.0
63,4380.0,-1690.0
64,4420.0,-1700.0
65,4470.0,-1720.0
66,4530.0,-1730.0
67,4540.0,-1750.0
68,4630.0,-1770.0
69,4680.0,-1790.0
70,4810.0,-1800.0
71,4860.0,-1810.0
72,4880.0,-1820.0
73,4950.0,-1840.0
74,5020.0,-1870.0
75,5140.0,-1880.0
76,5160.0,-1910.0
77,5240.0,-1920.0
78,5260.0,-2160.0
79,5450.0,-2270.0
80,5600.0,-2300.0
81,5610.0,-2320.0
82,5660.0,-2340.0
83,5780.0,-2380.0
84,5790.0,-2410.0
85,5800.0,-2430.0
86,5950.0,-2460.0
87,5970.0,-2470.0
88,6000.0,-2480.0
89,6010.0,-2500.0
90,6120.0,-2520.0
91,6130.0,-2540.0
92,6140.0,-2570.0
93,6300.0,-2580.0
94,6310.0,-2610.0
95,6320.0,-2630.0
96,6350.0,-2640.0
97,6470.0,-2680.0
