index,weight_0,weight_1
0,843820.0,113280.0
1,843840.0,113220.0
2,843940.0,113180.0
3,843970.0,113130.0
4,844050.0,113100.0
5,844070.0,113090.0
6,844120.0,113070.0
7,844150.0,113060.0
8,844180.0,113010.0
9,844270.0,113000.0
10,844280.0,112770.0
11,844300.0,112710.0
12,844400.0,112670.0
13,844430.0,112620.0
14,844530.0,112580.0
15,844580.0,112560.0
16,844680.0,112520.0
17,844730.0,112490.0
18,844750.0,112410.0
19,844770.0,112350.0
20,844870.0,112310.0
21,844920.0,112290.0
22,845020.0,112250.0
23,845070.0,112220.0
24,845140.0,112210.0
25,845160.0,112190.0
26,845170.0,112180.0
27,845180.0,112130.0
28,845260.0,112120.0
29,845280.0,112090.0
30,845310.0,112040.0
31,845380.0,111980.0
32,845480.0,111940.0
33,845510.0,111890.0
34,845610.0,111850.0
35,845620.0,111680.0
36,845640.0,111620.0
37,845740.0,111580.0
38,845770.0,111530.0
39,845870.0,111490.0
40,845920.0,111470.0
41,846020.0,111430.0
42,846070.0,111400.0
43,846090.0,111320.0
44,846110.0,111260.0
45,846210.0,111220.0
46,846260.0,111200.0
47,846360.0,111160.0
48,846410.0,111130.0
49,846480.0,111120.0
50,846500.0,111110.0
51,846510.0,111090.0
52,846560.0,111070.0
53,846600.0,111030.0
54,846700.0,110950.0
55,846720.0,110890.0
56,846820.0,110850.0
57,846850.0,110800.0
58,846950.0,110760.0
59,847000.0,110740.0
60,847100.0,110700.0
61,847150.0,110670.0
62,847170.0,110590.0
63,847190.0,110530.0
64,847290.0,110490.0
65,847340.0,110470.0
66,847440.0,110430.0
67,847490.0,110400.0
68,847560.0,110390.0
69,847580.0,110380.0
70,847590.0,110360.0
71,847640.0,110340.0
72,847680.0,110300.0
73,847780.0,110260.0
74,847880.0,110250.0
75,847930.0,110240.0
76,847960.0,110220.0
77,847980.0,110170.0
78,848050.0,110160.0
79,848070.0,110150.0
80,848080.0,110130.0
81,848150.0,110120.0
82,848170.0,110110.0
83,848250.0,110100.0
84,848320.0,110050.0
85,848350.0,110030.0
86,848370.0,110020.0
87,848420.0,110010.0
88,848450.0,109990.0
89,848470.0,109980.0
90,848540.0,109970.0
91,848620.0,109960.0
92,848630.0,109940.0
93,848650.0,109930.0
94,848690.0,109910.0
95,848710.0,109900.0
96,848740.0,109880.0
